x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
A41,A1,A0,A1,A0,54.0,A1,A0,A1,A0,69.95,3871.85,A1
A42,A1,A0,A1,A1,57.0,A0,A0,A0,A1,100.75,5985.0,A1
A43,A1,A0,A1,A0,5.0,A1,A0,A0,A1,80.85,356.1,A1
A44,A0,A0,A0,A0,9.0,A1,A2,A2,A2,20.1,190.25,A1
A45,A0,A0,A0,A1,53.0,A1,A1,A1,A0,80.6,4348.1,A1
A46,A0,A0,A1,A1,16.0,A0,A0,A0,A0,73.85,1284.2,A0
A47,A0,A0,A0,A1,1.0,A1,A0,A0,A1,79.95,79.95,A0
A48,A0,A0,A0,A1,52.0,A0,A1,A0,A1,103.05,5364.8,A1
A49,A1,A0,A1,A0,35.0,A1,A2,A2,A2,19.65,708.8,A1
A50,A0,A0,A1,A0,66.0,A1,A1,A1,A0,65.85,4097.05,A1
A51,A1,A0,A0,A1,2.0,A1,A1,A1,A0,86.25,181.65,A0
A52,A1,A0,A1,A0,33.0,A0,A1,A1,A0,88.6,2888.7,A1
A53,A0,A0,A0,A1,17.0,A0,A0,A1,A0,95.65,1640.0,A1
A54,,A0,A1,A0,36.0,A0,A0,A0,A1,104.5,3684.95,A1
A55,A0,A0,A0,A1,11.0,A1,A0,A0,A0,84.8,888.75,A1
A56,A0,A0,A0,A1,1.0,A2,A0,A0,A0,35.9,35.9,A0
A57,A0,A1,A1,A1,71.0,A0,A2,A2,A2,23.95,1756.2,A1
A58,A1,A0,A0,A1,1.0,A1,A2,A2,A2,19.25,19.25,A1
A59,A0,A0,A0,A1,1.0,A1,A2,A2,A2,19.3,19.3,A0
A60,A1,A0,A1,A1,72.0,A0,A1,A0,A1,101.35,7323.15,A1
A61,A0,A0,A0,A1,26.0,A0,A1,A0,A0,61.55,1581.95,A1
A62,A1,A0,A0,A1,31.0,A0,A0,A1,A0,65.25,1994.3,A0
A63,A0,A1,A0,A1,35.0,A0,A0,A0,A1,95.45,3474.05,A0
A64,A1,A0,A1,A1,47.0,A1,A0,A0,A1,66.05,3021.45,A1
A65,A1,A0,A0,A1,1.0,A1,A0,A0,A0,70.1,70.1,A1
A66,A0,A0,A0,A1,,A1,A1,A0,A1,96.1,3646.8,A1
A67,A1,A0,A1,A1,72.0,A0,A1,A0,A1,82.65,5919.35,A1
A68,A0,A0,A0,A1,4.0,A2,A0,A0,,29.65,118.5,A0
A69,A1,A1,A1,A1,55.0,A1,A0,A1,A1,88.8,4805.3,A1
A70,A1,A0,A0,A1,2.0,A1,A0,A0,,45.25,74.2,A1
A71,,A0,A0,A1,52.0,A1,A1,A0,A1,63.25,3342.45,A1
A72,A1,A0,A1,A1,1.0,A1,A0,A0,A0,69.4,69.4,A0
A73,A1,A0,A1,A0,47.0,A2,A1,A0,A1,60.0,2768.65,A1
A74,A0,A0,A0,A1,2.0,A1,A0,A0,A0,44.35,81.25,A0
A75,A0,A0,A1,A0,27.0,A0,A1,A1,A1,100.75,2793.55,A1
A76,,A0,A0,A1,28.0,A1,A1,A1,A1,91.25,2483.65,A1
A77,A0,A0,A1,A0,11.0,A0,A0,A0,A0,74.35,834.2,A0
A78,A0,A1,A1,A1,29.0,A0,A1,A0,A0,95.9,2745.2,A0
A79,A0,A0,A1,A1,,A0,A1,A0,A1,105.7,7472.15,A1
A80,A1,A0,A1,A0,56.0,A0,A0,A0,A1,65.2,3512.15,A1
A81,A1,A0,A0,A1,61.0,A0,A0,A1,A1,106.6,6428.4,A0
A82,A0,A0,A1,A1,70.0,A0,A0,A1,A0,74.8,5315.8,A1
A83,A1,A0,A1,A0,46.0,A0,A0,A1,A0,99.65,4630.2,A1
A84,,A1,A1,A0,38.0,A0,A1,A0,A1,101.15,3741.85,A1
A85,A1,A0,A1,A1,58.0,A0,A1,A0,A1,109.45,6144.55,A0
A86,A1,A0,A0,A1,18.0,A0,A0,A0,A1,85.2,1553.9,A0
A87,A0,A1,A0,A1,35.0,A0,A0,A0,A1,101.4,3496.3,A0
A88,A0,A0,A0,A1,13.0,A1,A2,A2,A2,19.95,243.65,A1
A89,A1,A1,A0,A1,4.0,A0,A0,A0,A1,95.45,396.1,A0
A90,A1,A1,A0,A1,1.0,A1,A0,A0,A0,71.25,71.25,A1
A91,A1,A1,A0,A1,44.0,A1,A1,A0,A0,89.15,3990.75,A1
A92,A0,A0,A1,A1,40.0,A2,A1,A0,A0,42.35,1716.45,A0
A93,A0,A0,A0,A1,3.0,A1,A0,A1,A0,82.3,214.4,A1
A94,A0,A0,A1,A1,1.0,A0,A0,A0,A0,74.6,74.6,A0
A95,A1,A0,A0,A1,1.0,A1,A0,A0,A0,49.55,49.55,A1
A96,A0,A0,A0,A1,1.0,A1,A0,A0,A0,45.8,45.8,A1
A97,A0,A0,A0,A0,34.0,A0,A1,A0,A1,103.8,3470.8,A1
A98,,A0,A1,A0,72.0,A0,A0,A1,A1,84.2,5986.55,A1
A99,A0,A0,A1,A1,16.0,A0,A0,A0,A0,75.4,1189.4,A1
A100,A0,A0,A0,A1,18.0,A2,A0,A0,,33.6,550.35,A1
A101,A0,A0,A1,A1,40.0,A0,A1,A1,A1,70.75,2921.75,A1
A102,A1,A0,A1,A0,46.0,A0,A2,A2,A2,24.95,1165.9,A1
A103,A0,A0,A1,A0,50.0,A0,A0,A1,A1,70.5,3486.65,A1
A104,,A1,A0,A1,26.0,A1,A0,A0,A1,85.8,2193.65,A1
A105,A0,A0,A1,A0,68.0,A0,A1,A0,A0,85.5,5696.6,A1
A106,A0,A0,A1,A0,40.0,A0,A1,A1,A1,110.1,4469.1,A1
A107,A0,A0,A1,A0,68.0,A0,A1,A1,A1,88.85,6132.7,A1
A108,A1,A1,A1,A1,,A0,A0,A0,,105.25,6786.4,A0
A109,A0,A0,A1,A1,,A1,A0,A0,A1,95.8,3036.75,A0
A110,A0,A0,A0,A1,11.0,A1,A1,A0,A1,61.25,729.95,A1
A111,,A0,A0,A1,59.0,A1,A0,A0,A0,61.35,3645.5,A1
A112,A0,A0,A0,A1,43.0,A1,A1,A1,A0,90.65,3882.3,A1
A113,,A0,A1,A0,58.0,A0,A0,A1,A0,94.35,5563.65,A1
A114,A0,A1,A1,A1,72.0,A0,A1,A1,A1,77.35,5396.25,A1
A115,A1,A0,A1,A0,4.0,A1,A1,A1,A0,56.5,235.1,A0
A116,A0,A0,A1,A0,13.0,A1,A2,A2,A2,19.85,252.0,A1
A117,A1,A0,A1,A0,58.0,A1,A2,A2,A2,20.3,1160.75,A1
A118,A0,A0,A1,A1,1.0,A1,A0,A0,A1,95.0,95.0,A0
A119,A1,A0,A0,A1,14.0,A1,A0,A0,A1,89.8,1129.1,A0
A120,A0,A0,A1,A1,64.0,A1,A0,A0,A0,73.55,4764.0,A1
A121,A0,A1,A0,A1,,A0,A1,A0,A0,90.05,4931.8,A1
A122,A0,A0,A0,A1,16.0,A1,A2,A2,A2,18.95,326.8,A1
A123,A1,A0,A0,A1,8.0,A1,A2,A2,A2,20.85,161.65,A1
A124,A0,A0,A0,A1,8.0,A0,A0,A0,A0,74.85,572.45,A1
A125,A1,A1,A1,A0,22.0,A0,A0,A0,A1,85.35,1961.6,A1
A126,A0,A0,A1,A1,60.0,A1,A2,A2,A2,19.95,1258.15,A1
A127,A1,A0,A1,A0,,A0,A1,A1,A0,99.75,5608.4,A1
A128,A0,A1,A0,A1,71.0,A0,A1,A1,A1,105.75,7382.85,A1
A129,,A0,A0,A1,13.0,A2,A0,A0,A0,35.1,446.1,A0
A130,A1,A0,A1,A1,71.0,A0,A1,A1,A1,85.75,6223.8,A1
A131,A1,A0,A1,A1,58.0,A2,A1,A0,A1,45.35,2540.1,A1
A132,A1,A1,A1,A1,26.0,A0,A0,A0,A1,98.1,2510.7,A1
A133,A0,A0,A1,A1,39.0,A1,A2,A2,A2,20.45,790.0,A1
A134,A0,A0,A0,A0,23.0,A1,A1,A1,A0,55.3,1284.2,A1
A135,A1,A0,A0,A1,72.0,A0,A1,A1,A1,116.45,8013.55,A1
A136,A0,A0,A0,A1,37.0,A1,A0,A0,A0,70.35,2552.9,A1
A137,A0,A0,A0,A1,39.0,A0,A0,A0,A0,73.15,2730.85,A1
A138,A0,A0,A1,A0,18.0,A1,A2,A2,A2,20.05,345.9,A1
A139,A0,A0,A1,A0,1.0,A1,A2,A2,A2,19.65,19.65,A1
A140,A0,A1,A0,A1,8.0,A0,A0,A0,A1,100.6,819.4,A0
A141,A0,A0,A0,A1,49.0,A0,A1,A1,A1,106.65,5168.1,A1
A142,A0,A0,A0,A1,1.0,A0,A0,A0,A0,50.15,50.15,A1
A143,A1,A1,A0,A1,45.0,A0,A0,A1,A0,70.05,3062.45,A1
A144,A1,A0,A0,A1,4.0,A2,A0,A1,A0,48.25,202.25,A1
A145,A1,A0,A1,A1,10.0,A1,A0,A0,A1,67.8,653.15,A1
A146,A1,A1,A0,A1,72.0,A0,A1,A1,A1,110.1,7746.7,A1
A147,A1,A1,A1,A1,59.0,A0,A1,A1,,94.05,5483.9,A1
A148,A1,A0,A1,A0,52.0,A1,A2,A2,A2,19.6,1012.4,A1
A149,A0,A0,A0,A1,18.0,A1,A2,A2,A2,19.25,331.35,A1
A150,A1,A0,A0,A1,1.0,A1,A2,A2,A2,19.4,19.4,A1
A151,A0,A0,A1,A0,,A2,A1,A0,A1,46.4,812.4,A1
A152,A1,A0,A0,A1,31.0,A1,A0,A1,A0,87.6,2724.25,A1
A153,A0,A1,A0,A0,56.0,A1,A0,A0,A1,94.8,5264.3,A1
A154,A1,A0,A1,A0,43.0,A0,A0,A0,A0,92.55,4039.0,A1
A155,A0,A0,A0,A0,62.0,A1,A1,A0,A0,56.15,3487.95,A1
A156,A1,A0,A0,A0,21.0,A1,A2,A2,A2,20.75,452.2,A1
A157,,A0,A0,A1,23.0,A0,A0,A1,A1,90.6,1943.2,A0
A158,,A0,A1,A1,,A1,A1,A0,A1,94.4,5610.25,A0
A159,,A0,A0,A1,38.0,A1,A0,A0,A0,69.5,2625.25,A1
A160,A1,A0,A0,A1,4.0,A1,A0,A0,A0,82.85,319.6,A1
A161,A1,A0,A1,A0,23.0,A0,A0,A1,A1,77.15,1759.4,A1
A162,A1,A0,A1,A1,55.0,A1,A2,A2,A2,19.7,1140.05,A1
A163,A0,A0,A0,A1,24.0,A1,A1,A1,A0,85.95,2107.15,A1
A164,A0,A0,A0,A1,20.0,A1,A0,A0,A1,78.8,1641.3,A1
A165,A0,A0,A1,A0,56.0,A0,A2,A2,A2,24.15,1402.25,A1
A166,A0,A0,A1,A1,10.0,A1,A2,A2,A2,19.6,189.45,A1
A167,A1,A0,A0,A1,36.0,A0,A1,A1,A0,70.7,2511.95,A1
A168,A0,A0,A0,A0,55.0,A1,A2,A2,A2,19.1,1001.5,A1
A169,,A0,A1,A1,57.0,A2,A1,A1,A1,57.5,3265.95,A1
A170,A1,A1,A1,A1,65.0,A0,A1,A0,A1,108.8,7082.45,A1
A171,A0,A0,A1,A0,9.0,A1,A2,A2,A2,19.6,197.4,A1
A172,A0,A0,A1,A0,53.0,A1,A1,A1,A1,65.0,3363.8,A1
A173,A0,A1,A1,A0,72.0,A1,A0,A1,A1,104.1,7447.7,A1
A174,A1,A0,A0,A1,3.0,A1,A1,A1,A1,97.9,315.3,A0
A175,A1,A0,A0,A1,22.0,A2,A1,A0,A1,50.35,1098.85,A1
A176,A1,A0,A1,A0,70.0,A0,A1,A0,A1,69.2,4872.35,A1
A177,A0,A0,A0,A1,5.0,A1,A2,A2,A2,20.05,95.55,A1
A178,A1,A0,A0,A1,45.0,A0,A0,A1,A0,73.55,3349.1,A1
A179,A1,A0,A1,A0,17.0,A0,A0,A0,A1,88.25,1460.65,A0
A180,A1,A0,A0,A1,1.0,A1,A2,A2,A2,19.55,19.55,A1
A181,A0,A0,A1,A0,63.0,A1,A2,A2,A2,19.15,1177.05,A1
A182,A1,A1,A1,A1,61.0,A0,A1,A0,A1,104.4,6405.0,A0
A183,A1,A0,A0,A1,6.0,A1,A0,A0,A0,55.0,340.4,A1
A184,,A0,A0,A1,17.0,A0,A1,A1,A1,106.65,1672.1,A1
A185,A0,A0,A0,A1,57.0,A1,A2,A2,A2,18.8,1094.35,A1
A186,A0,A0,A0,A1,5.0,A2,A0,A1,A0,40.0,223.45,A0
A187,A0,A0,A0,A1,33.0,A1,A1,A1,A0,80.6,2651.1,A1
A188,A1,A0,A1,A1,12.0,A0,A0,A0,A1,78.85,876.75,A1
A189,A0,A0,A1,A1,53.0,A0,A1,A1,A0,97.75,5043.2,A1
A190,,A0,A0,A0,3.0,A2,A1,A0,A0,29.65,90.05,A1
A191,A1,A0,A0,A1,71.0,A1,A1,A1,,77.35,5550.1,A1
A192,A1,A0,A1,A1,1.0,A1,A0,A0,A0,45.0,45.0,A1
A193,A0,A0,A1,A1,2.0,A1,A0,A0,A0,76.4,151.8,A0
A194,A1,A0,A1,A0,72.0,A2,A1,A1,A1,65.7,4575.35,A1
A195,A0,A0,A1,A0,53.0,A0,A2,A2,A2,25.55,1336.1,A1
A196,A0,A0,A1,A1,47.0,A0,A2,A2,A2,25.4,1139.2,A1
A197,A1,A0,A0,A1,40.0,A0,A1,A0,A1,93.4,3756.4,A1
A198,A1,A1,A0,A0,30.0,A0,A0,A1,A1,101.3,2974.5,A1
A199,A0,A0,A0,A1,48.0,A0,A0,A1,A0,95.4,4445.3,A1
A200,A1,A0,A1,A0,10.0,A1,A1,A0,A0,65.9,660.05,A1
A201,A0,A0,A0,A1,1.0,A1,A0,A1,A0,53.95,53.95,A0
A202,A0,A0,A1,A0,52.0,A1,A1,A1,A1,68.75,3482.85,A1
A203,A1,A0,A1,A0,24.0,A1,A0,A1,A0,55.15,1319.85,A1
A204,A0,A0,A0,A1,62.0,A0,A1,A0,A0,90.7,5586.45,A1
A205,A1,A1,A0,A1,1.0,A1,A0,A0,A1,78.45,78.45,A0
A206,A1,A0,A0,A1,13.0,A2,A1,A0,,31.65,389.95,A1
A207,A1,A0,A0,A1,19.0,A2,A1,A0,A0,39.7,710.05,A1
A208,A1,A0,A0,A1,62.0,A2,A1,A0,A0,43.6,2748.7,A1
A209,A0,A0,A0,A1,49.0,A0,A0,A1,A1,66.15,3199.0,A1
A210,A1,A0,A0,A1,1.0,A2,A0,A0,A0,35.05,35.05,A0
A211,A1,A1,A1,A1,71.0,A0,A1,A1,A0,96.35,6766.95,A1
A212,,A0,A0,A1,1.0,A1,A0,A0,A0,49.75,49.75,A1
A213,A1,A0,A0,A1,56.0,A0,A1,A0,A1,106.8,5914.4,A1
A214,A0,A0,A1,A0,8.0,A1,A0,A0,A1,94.75,759.55,A1
A215,A0,A0,A0,A1,14.0,A2,A1,A0,A0,31.1,419.7,A1
A216,A0,A0,A0,A1,33.0,A1,A0,A1,A1,88.95,3027.65,A1
A217,A1,A0,A1,A0,10.0,A1,A1,A1,A0,65.5,616.9,A1
A218,A0,A1,A0,A1,5.0,A1,A0,A0,A1,89.5,477.7,A0
A219,A0,A1,A0,A1,51.0,A1,A0,A0,A1,94.0,4905.75,A1
A220,A1,A0,A0,A0,48.0,A2,A1,A0,A0,45.55,2108.35,A1
A221,A1,A0,A0,A1,1.0,A1,A0,A1,A1,95.85,95.85,A1
A222,A1,A0,A0,A1,67.0,A1,A2,A2,A2,20.55,1343.4,A1
A223,A0,A0,A0,A1,69.0,A1,A1,A1,A1,104.05,7262.0,A0
A224,A0,A0,A1,A0,70.0,A0,A1,A1,A1,85.95,5931.75,A1
A225,A1,A0,A0,A1,23.0,A0,A0,A0,A0,75.6,1758.6,A0
A226,A0,A0,A1,A1,62.0,A0,A1,A0,A0,96.1,6001.45,A1
A227,A1,A0,A1,A0,31.0,A1,A2,A2,A2,19.55,658.95,A0
A228,A1,A0,A0,A1,66.0,A0,A1,A1,A1,104.55,6779.05,A1
A229,A0,A0,A1,A1,20.0,A1,A0,A1,A0,64.15,1274.45,A1
A230,A0,A0,A0,A1,24.0,A0,A1,A0,A0,80.25,1861.5,A0
A231,A1,A0,A0,A1,6.0,A0,A1,A0,A1,90.1,521.3,A0
A232,A0,A0,A1,A0,11.0,A1,A2,A2,A2,20.45,250.8,A1
A233,A0,A0,A1,A1,10.0,A1,A0,A1,A0,54.95,568.85,A1
A234,A1,A0,A0,A1,31.0,A0,A1,A0,A1,104.35,3205.6,A1
A235,A1,A0,A1,A0,66.0,A0,A1,A0,A1,102.45,6615.15,A0
A236,A0,A0,A1,A0,17.0,A1,A0,A0,A1,80.85,1400.85,A0
A237,A1,A0,A1,A1,9.0,A0,A1,A0,A0,91.75,865.8,A0
A238,A1,A0,A0,A1,4.0,A1,A1,A1,A0,60.4,272.15,A0
A239,A1,A0,A1,A0,68.0,A0,A0,A0,A1,83.0,5685.8,A0
A240,A1,A0,A1,A0,48.0,A1,A0,A1,A1,69.7,3023.65,A1
A241,,A0,A0,A1,14.0,A1,A0,A1,A1,69.65,921.4,A1
A242,A1,A0,A0,A1,33.0,A0,A1,A0,A1,107.55,3645.5,A1
A243,A0,A0,A1,A1,60.0,A1,A0,A0,A1,59.8,3561.15,A1
A244,,A1,A1,A1,58.0,A2,A1,A0,A0,45.3,2651.2,A0
A245,A1,A0,A1,A1,49.0,A0,A0,A0,A1,100.85,4847.35,A1
A246,A1,A1,A1,A1,72.0,A0,A1,A1,A1,114.85,8317.95,A1
A247,A1,A0,A0,A1,20.0,A0,A1,A1,A0,68.9,1370.35,A1
A248,A0,A0,A1,A1,56.0,A0,A1,A0,A0,59.5,3389.25,A1
A249,A1,A0,A0,A1,2.0,A1,A2,A2,A2,19.3,44.4,A1
A250,A1,A0,A0,A0,26.0,A1,A1,A1,A1,105.45,2715.3,A1
A251,A0,A0,A0,A1,20.0,A1,A2,A2,A2,19.7,415.9,A1
A252,A1,A0,A0,A1,40.0,A0,A0,A0,A0,83.85,3532.25,A1
A253,A1,A1,A0,unknown,59.0,A0,A1,A0,A0,79.2,4590.35,A1
A254,A1,A0,A1,A1,11.0,A0,A0,A0,A1,94.0,1078.9,A0
A255,A0,A0,A0,A1,19.0,A1,A1,A1,A0,65.35,1231.85,A1
A256,A0,A0,A0,A0,23.0,A1,A1,A1,A0,54.15,1312.45,A1
A257,A0,A0,A1,A0,51.0,A0,A1,A1,A0,84.2,4299.75,A1
A258,A0,A0,A0,A0,33.0,A2,A0,A1,A0,34.05,1113.95,A1
A259,A1,A0,A1,A0,22.0,A1,A0,A0,A0,80.15,1790.65,A1
A260,A0,A0,A0,A1,52.0,A0,A0,A1,A1,109.3,5731.4,A1
A261,A0,A0,A1,A0,72.0,A0,A1,A0,A1,110.3,7966.9,A1
A262,A1,A0,A1,A0,16.0,A1,A2,A2,A2,19.35,275.9,A1
A263,A0,A0,A1,A0,25.0,A1,A0,A1,A0,54.3,1296.8,A1
A264,A1,A0,A1,A1,27.0,A0,A0,A0,A1,95.0,2462.55,A1
A265,A1,A0,A0,A1,9.0,A1,A1,A0,A1,74.65,703.55,A0
A266,A0,A0,A0,A0,5.0,A1,A2,A2,A2,20.35,122.0,A1
A267,A1,A0,A0,A1,29.0,A2,A0,A0,A0,25.1,712.85,A0
A268,A0,A0,A1,A1,71.0,A0,A2,A2,A2,24.5,1816.2,A1
A269,A1,A0,A0,A0,15.0,A1,A1,A0,A0,85.9,1269.55,A0
A270,A1,A0,A1,A1,70.0,A0,A1,A1,A1,110.5,7752.05,A1
A271,A0,A0,A1,A0,67.0,A0,A1,A0,A0,89.55,6373.1,A1
A272,A1,A0,A1,A1,53.0,A0,A1,A1,A1,108.95,5718.2,A1
A273,A0,A0,A0,A1,1.0,A1,A2,A2,A2,19.95,19.95,A1
A274,A0,A0,A0,A1,68.0,A2,A0,A0,A0,39.9,2796.35,A1
A275,A1,A0,A1,A1,26.0,A1,A1,A0,,73.5,1905.7,A1
A276,A1,A0,A0,A1,16.0,A2,A0,A0,A1,38.9,664.4,A1
A277,A0,A0,A1,A1,71.0,A0,A1,A0,A1,109.6,7854.15,A1
A278,,A0,A1,A0,24.0,A1,A2,A2,A2,20.25,439.75,A1
A279,A1,A1,A1,A1,14.0,A0,A1,A0,A1,100.2,1369.8,A0
A280,A1,A0,A1,A0,72.0,A0,A0,A1,A1,110.45,8058.85,A1
A281,A0,A0,A1,A0,72.0,A0,A2,A2,A2,24.3,1643.25,A1
A282,A0,A0,A0,A1,15.0,A0,A1,A1,A0,95.7,1451.1,A1
A283,A0,A0,A0,A1,9.0,A2,A0,A1,A0,50.8,463.6,A1
A284,A0,A0,A1,A0,16.0,A1,A0,A0,A1,64.25,1024.0,A1
A285,A0,A0,A0,A1,13.0,A1,A1,A0,A0,79.8,973.45,A0
A286,A0,A1,A0,A1,1.0,A1,A0,A0,A0,69.65,69.65,A0
A287,A0,A0,A0,A1,1.0,A1,A0,A0,A0,45.75,45.75,A0
A288,,A0,A0,A1,42.0,A1,A1,A0,A0,59.65,2536.55,A1
A289,A0,A0,A1,A0,34.0,A0,A0,A0,A1,77.2,2753.8,A1
A290,A0,A0,A0,A1,22.0,A0,A0,A0,A0,83.05,1799.3,A1
A291,A1,A0,A0,A1,1.0,A2,A0,A0,A0,25.15,25.15,A1
A292,,A0,A0,A1,29.0,A2,A0,A1,A0,31.2,926.2,A1
A293,A1,A0,A0,A1,67.0,A2,A0,A1,,53.4,3579.15,A1
A294,A1,A0,A0,A1,66.0,A2,A0,A1,A1,61.35,4193.4,A1
A295,A0,A0,A0,A1,3.0,A1,A0,A0,A0,73.6,232.5,A1
A296,A0,A0,A1,A1,68.0,A1,A1,A0,A0,70.95,4741.45,A1
A297,A1,A0,A1,A1,70.0,A1,A2,A2,A2,19.8,1397.65,A1
A298,,A0,A0,A1,23.0,A0,A0,A0,A1,90.05,2169.8,A0
A299,,A0,A1,A0,62.0,A1,A1,A1,A1,108.15,6825.65,A1
A300,A1,A0,A1,A0,15.0,A1,A0,A0,A0,46.3,639.45,A1
A301,A0,A0,A1,A1,58.0,A1,A1,A0,A0,60.3,3563.8,A0
A302,A1,A0,A1,A0,24.0,A2,A1,A1,A0,52.5,1208.15,A1
A303,A0,A0,A0,A1,18.0,A1,A2,A2,A2,19.0,348.8,A1
A304,A1,A0,A1,A1,69.0,A1,A1,A1,A1,106.4,7251.9,A1
A305,A0,A1,A0,A1,16.0,A0,A0,A0,A1,86.6,1281.0,A0
A306,A1,A0,A0,A1,18.0,A0,A0,A0,,60.6,1156.35,A1
A307,A1,A1,A0,A1,35.0,A1,A0,A0,A0,70.55,2419.0,A1
A308,A1,A0,A1,A1,3.0,A0,A0,A0,A0,74.75,229.5,A0
A309,A1,A0,A0,A1,1.0,A1,A0,A0,A0,70.9,70.9,A0
A310,A1,A0,A1,A0,20.0,A1,A2,A2,A2,20.0,417.65,A1
A311,A1,A0,A0,A1,2.0,A2,A0,A0,A0,24.5,46.4,A1
A312,A0,A0,A1,A0,32.0,A2,A0,A1,A0,36.25,1151.05,A1
A313,,A0,A0,A1,65.0,A0,A0,A1,A1,110.0,7138.65,A1
A314,A1,A0,A1,A0,12.0,A1,A2,A2,A2,19.4,198.1,A1
A315,A0,A0,A0,A1,26.0,A1,A0,A1,A1,75.0,1908.35,A1
A316,A0,A0,A1,A1,54.0,A0,A1,A0,A1,104.3,5278.15,A0
A317,A1,A0,A0,A1,22.0,A1,A0,A0,A0,49.8,1049.05,A1
A318,A0,A0,A1,A1,27.0,A1,A0,A0,A0,48.7,1421.75,A1
A319,A0,A0,A1,A0,47.0,A0,A2,A2,A2,24.55,1160.45,A1
A320,A0,A0,A1,A1,72.0,A0,A1,A1,A1,114.45,8375.05,A1
A321,A0,A1,A0,A1,1.0,A0,A0,A0,A0,76.45,76.45,A0
A322,A0,A0,A1,A1,9.0,A0,A1,A0,A0,69.05,653.95,A1
A323,A0,A1,A0,A1,15.0,A1,A0,A0,A0,79.4,1156.1,A0
A324,A1,A1,A0,A1,46.0,A1,A1,A0,A1,95.25,4424.2,A0
A325,A0,A0,A1,A0,55.0,A1,A2,A2,A2,20.5,1177.95,A1
A326,A0,A0,A0,A1,38.0,A0,A1,A0,A0,95.1,3691.2,A1
A327,,A0,A1,A1,60.0,A2,A1,A1,A1,60.8,3603.45,A1
A328,A1,A1,A0,A1,23.0,A1,A1,A0,A1,94.75,2293.6,A0
